"cluster","cluster.size","study","group"
1,1,"24014485_Petersen-A-K_m00060_leucine_no_snps_model","other"
2,2,"24014485_Petersen-A-K_m00555_adenosine_no_snps_model","other"
2,2,"24014485_Petersen-A-K_m00555_adenosine_snps_as_covariates_model","other"
3,1,"24014485_Petersen-A-K_m15140_kynurenine_snps_as_covariates_model","other"
4,1,"24014485_Petersen-A-K_m15500_carnitine_no_snps_model","other"
5,1,"24014485_Petersen-A-K_m15676_3-methyl-2-oxovalerate_no_snps_model","other"
6,1,"24014485_Petersen-A-K_m20699_erythritol_no_snps_model","other"
7,1,"24014485_Petersen-A-K_m20699_erythritol_snps_as_covariates_model","other"
8,1,"24014485_Petersen-A-K_m21127_1-palmitoylglycerol_1-monopalmitin_no_snps_model","other"
9,1,"24014485_Petersen-A-K_m32412_butyrylcarnitine_no_snps_model","other"
10,2,"24014485_Petersen-A-K_m33228_1-arachidonoylglycerophosphocholine__no_snps_model","other"
10,2,"24014485_Petersen-A-K_m33228_1-arachidonoylglycerophosphocholine__snps_as_covariates_model","other"
11,3,"24014485_Petersen-A-K_m33884_x-12442_no_snps_model","other"
11,3,"24014485_Petersen-A-K_m33884_x-12442_snps_as_covariates_model","other"
11,3,"33752734_Yao-C_gene_expression_of_affymetrix_id__2603544__gene_symbol__nmur1__meta-analysis","other"
12,4,"24014485_Petersen-A-K_m33957_1-heptadecanoylglycerophosphocholine_no_snps_model","other"
12,4,"24014485_Petersen-A-K_m33957_1-heptadecanoylglycerophosphocholine_snps_as_covariates_model","other"
12,4,"24014485_Petersen-A-K_m35186_1-arachidonoylglycerophosphoethanolamine__no_snps_model","other"
12,4,"24014485_Petersen-A-K_m35186_1-arachidonoylglycerophosphoethanolamine__snps_as_covariates_model","other"
13,3,"24014485_Petersen-A-K_m35254_2-oleoylglycerophosphocholine__no_snps_model","other"
13,3,"24014485_Petersen-A-K_m35254_2-oleoylglycerophosphocholine__snps_as_covariates_model","other"
13,3,"32007686_Tian-FY_selenium","diet_environment"
14,1,"24014485_Petersen-A-K_m36399_x-14473_snps_as_covariates_model","other"
15,2,"24014485_Petersen-A-K_m36808_dimethylarginine_sdma___adma_no_snps_model","other"
15,2,"24014485_Petersen-A-K_m36808_dimethylarginine_sdma___adma_snps_as_covariates_model","other"
16,1,"24170695_fasting_insulin_replication",NA
17,1,"24170695_homair_replication",NA
18,1,"24278132_age_at_menarche","age"
19,1,"24278132_Battram-T_age_at_menarche_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse51057",NA
20,1,"24477300_n3_pufa_intake","diet_environment"
21,1,"24603599_frontotemporal_dementia",NA
22,1,"24630777_body_mass_index_replication_1",NA
23,1,"24630777_body_mass_index_replication_2",NA
24,1,"24630777_body_mass_index_skin_tissue",NA
25,2,"25075435_sunlight_duration","other"
25,2,"25075435_sunlight_duration_adjusted_for_vitamin_d_intake","other"
26,1,"25325195_high_vs_low_arsenic_exposure_replication",NA
27,1,"25325234_maternal_smoking_in_pregnancy_replication_at_17_adjusted_for_current_parent_and_participant_smoking",NA
28,1,"25583993_lowdensity_lipoprotein_cholesterol_discovery","cardiometabolic"
29,1,"25583993_lowdensity_lipoprotein_cholesterol_replication",NA
30,1,"25612291_borderline_personality_disorder_vs_major_depressive_disorder","neurological"
31,1,"25617346_fluid_type_general_intelligence",NA
32,1,"25617346_lung_function_fev1",NA
33,1,"25650246_Battram-T_fetal_brain_development_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse58885","perinatal"
34,1,"25650246_interaction_between_gestational_age_and_sex","age"
35,1,"25855716_prenatal_exposure_to_aflatoxin_b1","perinatal"
36,1,"25855720_maternal_obesity_adolescence","cardiometabolic"
37,1,"25855720_maternal_obesity_birth","cardiometabolic"
38,1,"25944819_prenatal_famine_exposure_any_of_the_gestation_periods",NA
39,1,"26113971_Battram-T_sex_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse67393",NA
40,328,"23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861","autoimmune"
40,328,"23526956_clear_cell_renal_carcinoma","cancer"
40,328,"23792949_Battram-T_ethnicity_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse39672__compared_european_and_african_samples_from_hapmap__ceu_and_yri_","ancestry"
40,328,"24014485_Petersen-A-K_m00542_3-hydroxybutyrate_bhba_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m00542_3-hydroxybutyrate_bhba_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m01444_pipecolate_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m02734_gamma-glutamyltyrosine_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m02734_gamma-glutamyltyrosine_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m15753_hippurate_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m15753_hippurate_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m31548_dsgegdfxaegggvr__no_snps_model","other"
40,328,"24014485_Petersen-A-K_m31548_dsgegdfxaegggvr__snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m32197_3-4-hydroxyphenyllactate_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m32197_3-4-hydroxyphenyllactate_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m32322_glutamate_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m32322_glutamate_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m32338_glycine_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m32338_glycine_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m32492_caprylate_8_0_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m32492_caprylate_8_0_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m32504_docosapentaenoate_n3_dpa__22_5n3_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m32504_docosapentaenoate_n3_dpa__22_5n3_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m33364_gamma-glutamylthreonine__no_snps_model","other"
40,328,"24014485_Petersen-A-K_m33364_gamma-glutamylthreonine__snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m33420_gamma-tocopherol_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m33420_gamma-tocopherol_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m33871_1-eicosadienoylglycerophosphocholine__no_snps_model","other"
40,328,"24014485_Petersen-A-K_m33871_1-eicosadienoylglycerophosphocholine__snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m33960_1-oleoylglycerophosphocholine_snps_as_covariates_model","other"
40,328,"24014485_Petersen-A-K_m35718_dihomo-linolenate_20_3n3_or_n6_no_snps_model","other"
40,328,"24014485_Petersen-A-K_m37202_4-androsten-3betacomma17beta-diol_disulfate_1__no_snps_model","anthropometric"
40,328,"24014485_Petersen-A-K_m37202_4-androsten-3betacomma17beta-diol_disulfate_1__snps_as_covariates_model","anthropometric"
40,328,"24170695_fasting_insulin_discovery",NA
40,328,"24170695_homair_discovery","cardiometabolic"
40,328,"24630777_body_mass_index_adipose_tissue",NA
40,328,"24630777_body_mass_index_discovery","anthropometric"
40,328,"24920721_triglycerides","cardiometabolic"
40,328,"24920721_very_lowdensity_lipoprotein_cholesterol","cardiometabolic"
40,328,"25129075_alzheimers_disease_braak_score_replication",NA
40,328,"25583993_highdensity_lipoprotein_cholesterol_discovery","cardiometabolic"
40,328,"25583993_highdensity_lipoprotein_cholesterol_replication","cardiometabolic"
40,328,"25583993_triglycerides_discovery","cardiometabolic"
40,328,"25583993_triglycerides_replication","cardiometabolic"
40,328,"25935004_body_mass_index_change","anthropometric"
40,328,"25935004_body_mass_index_discovery","anthropometric"
40,328,"25935004_body_mass_index_metaanalysis","anthropometric"
40,328,"25935004_body_mass_index_replication","anthropometric"
40,328,"25935004_waist_circumference_discovery","anthropometric"
40,328,"25935004_waist_circumference_metaanalysis","anthropometric"
40,328,"25935004_waist_circumference_replication",NA
40,328,"26095709_type_ii_diabetes_discovery","cardiometabolic"
40,328,"26095709_type_ii_diabetes_metaanalysis","cardiometabolic"
40,328,"26095709_type_ii_diabetes_replication",NA
40,328,"26110892_body_mass_index_aric",NA
40,328,"26110892_body_mass_index_discovery_goldn","anthropometric"
40,328,"26110892_body_mass_index_fhs_1","anthropometric"
40,328,"26110892_body_mass_index_fhs_2",NA
40,328,"26110892_body_mass_index_metaanalysis","anthropometric"
40,328,"26110892_waist_circumference_aric","anthropometric"
40,328,"26110892_waist_circumference_discovery_goldn","anthropometric"
40,328,"26110892_waist_circumference_metaanalysis","anthropometric"
40,328,"26119815_body_mass_index_discovery","anthropometric"
40,328,"26119815_body_mass_index_replication","anthropometric"
40,328,"26433941_type_ii_diabetes_discovery","cardiometabolic"
40,328,"26433941_type_ii_diabetes_discovery_adjusted_for_leucocyte_composition","cardiometabolic"
40,328,"26433941_type_ii_diabetes_replication",NA
40,328,"26433941_type_ii_diabetes_replication_adjusted_for_leucocyte_composition",NA
40,328,"26643952_hba1c_basicmar_1","cardiometabolic"
40,328,"26643952_hba1c_basicmar_2","cardiometabolic"
40,328,"26643952_type_ii_diabetes_basicmar_1","cardiometabolic"
40,328,"26643952_type_ii_diabetes_basicmar_2",NA
40,328,"26681806_growth_differentiation_factor_15_metaanalysis","other"
40,328,"26681806_growth_differentiation_factor_15_nsphs_study","other"
40,328,"26681806_growth_differentiation_factor_15_pivus_study",NA
40,328,"26798409_hypertriglyceridemic_waist","anthropometric"
40,328,"27019061_2hour_glucose","cardiometabolic"
40,328,"27019061_2hour_insulin",NA
40,328,"27019061_fasting_glucose","cardiometabolic"
40,328,"27019061_fasting_glucose_adjusted_for_bmi",NA
40,328,"27019061_fasting_insulin","cardiometabolic"
40,328,"27019061_fasting_insulin_adjusted_for_bmi",NA
40,328,"27019061_homair","cardiometabolic"
40,328,"27019061_homair_adjusted_for_bmi",NA
40,328,"27074206_schizophrenia_discovery",NA
40,328,"27074206_schizophrenia_replication","neurological"
40,328,"27564309_body_mass_index_discovery","anthropometric"
40,328,"27564309_body_mass_index_validation",NA
40,328,"27672717_human_immunodeficiency_virus","other"
40,328,"27777315_postprandial_lipemia_discovery","cardiometabolic"
40,328,"27777315_postprandial_lipemia_discovery_and_replication","cardiometabolic"
40,328,"27777315_postprandial_lipemia_replication","cardiometabolic"
40,328,"27777315_postprandial_lipemia_replication_adjusted_for_baseline_triglycerides",NA
40,328,"27826092_body_mass_index","anthropometric"
40,328,"27843151_alcohol_consumption_per_day_cd14_monocytes","alcohol"
